Country,Region,Residence,Ethnicity,SocDem,Version,Ref-ID,Year1,Year2,TypeLT,Sex,e(x),e(x)Orig
USA,0,0,0,0,1,427.1,1937,1937,1,1,59.36,59.36
USA,0,0,0,0,1,427.1,1937,1937,1,2,63.58,63.58
USA,0,0,0,0,1,427.1,1937,1937,2,1,59.36,59.36
USA,0,0,0,0,1,427.1,1937,1937,2,2,63.58,63.58
USA,0,0,0,0,1,427.1,1938,1938,1,1,60.82,60.81
USA,0,0,0,0,1,427.1,1938,1938,1,2,64.74,64.74
USA,0,0,0,0,1,427.1,1938,1938,2,1,60.82,60.81
USA,0,0,0,0,1,427.1,1938,1938,2,2,64.74,64.74
USA,0,0,0,0,1,427.1,1939,1939,1,1,61.44,61.44
USA,0,0,0,0,1,427.1,1939,1939,1,2,65.41,65.41
USA,0,0,0,0,1,427.1,1939,1939,2,1,61.44,61.44
USA,0,0,0,0,1,427.1,1939,1939,2,2,65.41,65.41
USA,0,0,0,0,1,427.1,1940,1940,1,1,61.43,61.43
USA,0,0,0,0,1,427.1,1940,1940,1,2,65.74,65.74
USA,0,0,0,0,1,427.1,1940,1940,2,1,61.43,61.43
USA,0,0,0,0,1,427.1,1940,1940,2,2,65.74,65.74
USA,0,0,0,0,1,427.1,1941,1941,1,1,61.9,61.9
USA,0,0,0,0,1,427.1,1941,1941,1,2,66.46,66.46
USA,0,0,0,0,1,427.1,1941,1941,2,1,61.9,61.9
USA,0,0,0,0,1,427.1,1941,1941,2,2,66.46,66.46
USA,0,0,0,0,1,427.1,1942,1942,1,1,62.59,62.58
USA,0,0,0,0,1,427.1,1942,1942,1,2,67.36,67.36
USA,0,0,0,0,1,427.1,1942,1942,2,1,62.59,62.58
USA,0,0,0,0,1,427.1,1942,1942,2,2,67.36,67.36
USA,0,0,0,0,1,427.1,1943,1943,1,1,62.25,62.25
USA,0,0,0,0,1,427.1,1943,1943,1,2,67.1,67.1
USA,0,0,0,0,1,427.1,1943,1943,2,1,62.25,62.25
USA,0,0,0,0,1,427.1,1943,1943,2,2,67.1,67.1
USA,0,0,0,0,1,427.1,1944,1944,1,1,62.68,62.68
USA,0,0,0,0,1,427.1,1944,1944,1,2,67.82,67.82
USA,0,0,0,0,1,427.1,1944,1944,2,1,62.68,62.68
USA,0,0,0,0,1,427.1,1944,1944,2,2,67.82,67.82
USA,0,0,0,0,1,427.1,1945,1945,1,1,62.87,62.87
USA,0,0,0,0,1,427.1,1945,1945,1,2,68.44,68.44
USA,0,0,0,0,1,427.1,1945,1945,2,1,62.87,62.87
USA,0,0,0,0,1,427.1,1945,1945,2,2,68.44,68.44
USA,0,0,0,0,1,427.1,1946,1946,1,1,64.26,64.25
USA,0,0,0,0,1,427.1,1946,1946,1,2,69.21,69.21
USA,0,0,0,0,1,427.1,1946,1946,2,1,64.26,64.25
USA,0,0,0,0,1,427.1,1946,1946,2,2,69.21,69.21
USA,0,0,0,0,1,427.1,1947,1947,1,1,64.57,64.57
USA,0,0,0,0,1,427.1,1947,1947,1,2,69.68,69.68
USA,0,0,0,0,1,427.1,1947,1947,2,1,64.57,64.57
USA,0,0,0,0,1,427.1,1947,1947,2,2,69.68,69.68
USA,0,0,0,0,1,427.1,1948,1948,1,1,64.84,64.84
USA,0,0,0,0,1,427.1,1948,1948,1,2,70.16,70.16
USA,0,0,0,0,1,427.1,1948,1948,2,1,64.84,64.84
USA,0,0,0,0,1,427.1,1948,1948,2,2,70.16,70.16
USA,0,0,0,0,1,427.1,1949,1949,1,1,65.27,65.26
USA,0,0,0,0,1,427.1,1949,1949,1,2,70.66,70.66
USA,0,0,0,0,1,427.1,1949,1949,2,1,65.27,65.26
USA,0,0,0,0,1,427.1,1949,1949,2,2,70.66,70.66
USA,0,0,0,0,1,427.1,1950,1950,1,1,65.63,65.63
USA,0,0,0,0,1,427.1,1950,1950,1,2,71.13,71.13
USA,0,0,0,0,1,427.1,1950,1950,2,1,65.63,65.63
USA,0,0,0,0,1,427.1,1950,1950,2,2,71.13,71.13
USA,0,0,0,0,1,427.1,1951,1951,1,1,65.66,65.66
USA,0,0,0,0,1,427.1,1951,1951,1,2,71.36,71.36
USA,0,0,0,0,1,427.1,1951,1951,2,1,65.66,65.66
USA,0,0,0,0,1,427.1,1951,1951,2,2,71.36,71.36
USA,0,0,0,0,1,427.1,1952,1952,1,1,65.78,65.78
USA,0,0,0,0,1,427.1,1952,1952,1,2,71.62,71.62
USA,0,0,0,0,1,427.1,1952,1952,2,1,65.78,65.78
USA,0,0,0,0,1,427.1,1952,1952,2,2,71.62,71.62
USA,0,0,0,0,1,427.1,1953,1953,1,1,65.98,65.98
USA,0,0,0,0,1,427.1,1953,1953,1,2,71.98,71.98
USA,0,0,0,0,1,427.1,1953,1953,2,1,65.98,65.98
USA,0,0,0,0,1,427.1,1953,1953,2,2,71.98,71.98
USA,0,0,0,0,1,427.1,1954,1954,1,1,66.74,66.74
USA,0,0,0,0,1,427.1,1954,1954,1,2,72.74,72.75
USA,0,0,0,0,1,427.1,1954,1954,2,1,66.74,66.74
USA,0,0,0,0,1,427.1,1954,1954,2,2,72.74,72.75
USA,0,0,0,0,1,427.1,1955,1955,1,1,66.72,66.72
USA,0,0,0,0,1,427.1,1955,1955,1,2,72.81,72.81
USA,0,0,0,0,1,427.1,1955,1955,2,1,66.72,66.72
USA,0,0,0,0,1,427.1,1955,1955,2,2,72.81,72.81
USA,0,0,0,0,1,427.1,1956,1956,1,1,66.73,66.73
USA,0,0,0,0,1,427.1,1956,1956,1,2,72.94,72.94
USA,0,0,0,0,1,427.1,1956,1956,2,1,66.73,66.73
USA,0,0,0,0,1,427.1,1956,1956,2,2,72.94,72.94
USA,0,0,0,0,1,427.1,1957,1957,1,1,66.47,66.47
USA,0,0,0,0,1,427.1,1957,1957,1,2,72.73,72.73
USA,0,0,0,0,1,427.1,1957,1957,2,1,66.47,66.47
USA,0,0,0,0,1,427.1,1957,1957,2,2,72.73,72.73
USA,0,0,0,0,1,427.1,1958,1958,1,1,66.64,66.64
USA,0,0,0,0,1,427.1,1958,1958,1,2,72.92,72.92
USA,0,0,0,0,1,427.1,1958,1958,2,1,66.64,66.64
USA,0,0,0,0,1,427.1,1958,1958,2,2,72.92,72.92
USA,0,0,0,0,1,427.1,1959,1959,1,1,66.8,66.8
USA,0,0,0,0,1,427.1,1959,1959,1,2,73.24,73.24
USA,0,0,0,0,1,427.1,1959,1959,2,1,66.8,66.8
USA,0,0,0,0,1,427.1,1959,1959,2,2,73.24,73.24
USA,0,0,0,0,1,427.1,1960,1960,1,1,66.66,66.66
USA,0,0,0,0,1,427.1,1960,1960,1,2,73.24,73.24
USA,0,0,0,0,1,427.1,1960,1960,2,1,66.66,66.66
USA,0,0,0,0,1,427.1,1960,1960,2,2,73.24,73.24
USA,0,0,0,0,1,427.1,1961,1961,1,1,67.07,67.07
USA,0,0,0,0,1,427.1,1961,1961,1,2,73.63,73.63
USA,0,0,0,0,1,427.1,1961,1961,2,1,67.07,67.07
USA,0,0,0,0,1,427.1,1961,1961,2,2,73.63,73.63
USA,0,0,0,0,1,427.1,1962,1962,1,1,66.89,66.89
USA,0,0,0,0,1,427.1,1962,1962,1,2,73.5,73.5
USA,0,0,0,0,1,427.1,1962,1962,2,1,66.89,66.89
USA,0,0,0,0,1,427.1,1962,1962,2,2,73.5,73.5
USA,0,0,0,0,1,427.1,1963,1963,1,1,66.64,66.64
USA,0,0,0,0,1,427.1,1963,1963,1,2,73.42,73.42
USA,0,0,0,0,1,427.1,1963,1963,2,1,66.64,66.64
USA,0,0,0,0,1,427.1,1963,1963,2,2,73.42,73.42
USA,0,0,0,0,1,427.1,1964,1964,1,1,66.84,66.84
USA,0,0,0,0,1,427.1,1964,1964,1,2,73.74,73.74
USA,0,0,0,0,1,427.1,1964,1964,2,1,66.84,66.84
USA,0,0,0,0,1,427.1,1964,1964,2,2,73.74,73.74
USA,0,0,0,0,1,427.1,1965,1965,1,1,66.79,66.79
USA,0,0,0,0,1,427.1,1965,1965,1,2,73.84,73.84
USA,0,0,0,0,1,427.1,1965,1965,2,1,66.79,66.79
USA,0,0,0,0,1,427.1,1965,1965,2,2,73.84,73.84
USA,0,0,0,0,1,427.1,1966,1966,1,1,66.69,66.69
USA,0,0,0,0,1,427.1,1966,1966,1,2,73.9,73.9
USA,0,0,0,0,1,427.1,1966,1966,2,1,66.69,66.69
USA,0,0,0,0,1,427.1,1966,1966,2,2,73.9,73.9
USA,0,0,0,0,1,427.1,1967,1967,1,1,66.95,66.95
USA,0,0,0,0,1,427.1,1967,1967,1,2,74.29,74.29
USA,0,0,0,0,1,427.1,1967,1967,2,1,66.95,66.95
USA,0,0,0,0,1,427.1,1967,1967,2,2,74.29,74.29
USA,0,0,0,0,1,427.1,1968,1968,1,1,66.61,66.61
USA,0,0,0,0,1,427.1,1968,1968,1,2,74.21,74.21
USA,0,0,0,0,1,427.1,1968,1968,2,1,66.61,66.61
USA,0,0,0,0,1,427.1,1968,1968,2,2,74.21,74.21
USA,0,0,0,0,1,427.1,1969,1969,1,1,66.88,66.88
USA,0,0,0,0,1,427.1,1969,1969,1,2,74.59,74.59
USA,0,0,0,0,1,427.1,1969,1969,2,1,66.88,66.88
USA,0,0,0,0,1,427.1,1969,1969,2,2,74.59,74.59
USA,0,0,0,0,1,427.1,1970,1970,1,1,67.15,67.15
USA,0,0,0,0,1,427.1,1970,1970,1,2,74.86,74.86
USA,0,0,0,0,1,427.1,1970,1970,2,1,67.15,67.15
USA,0,0,0,0,1,427.1,1970,1970,2,2,74.86,74.86
USA,0,0,0,0,1,427.1,1971,1971,1,1,67.4,67.4
USA,0,0,0,0,1,427.1,1971,1971,1,2,75.06,75.06
USA,0,0,0,0,1,427.1,1971,1971,2,1,67.4,67.4
USA,0,0,0,0,1,427.1,1971,1971,2,2,75.06,75.06
USA,0,0,0,0,1,427.1,1972,1972,1,1,67.42,67.42
USA,0,0,0,0,1,427.1,1972,1972,1,2,75.22,75.22
USA,0,0,0,0,1,427.1,1972,1972,2,1,67.42,67.42
USA,0,0,0,0,1,427.1,1972,1972,2,2,75.22,75.22
USA,0,0,0,0,1,427.1,1973,1973,1,1,67.64,67.64
USA,0,0,0,0,1,427.1,1973,1973,1,2,75.47,75.47
USA,0,0,0,0,1,427.1,1973,1973,2,1,67.64,67.64
USA,0,0,0,0,1,427.1,1973,1973,2,2,75.47,75.47
USA,0,0,0,0,1,427.1,1974,1974,1,1,68.27,68.27
USA,0,0,0,0,1,427.1,1974,1974,1,2,76.02,76.02
USA,0,0,0,0,1,427.1,1974,1974,2,1,68.27,68.27
USA,0,0,0,0,1,427.1,1974,1974,2,2,76.02,76.02
USA,0,0,0,0,1,427.1,1975,1975,1,1,68.74,68.74
USA,0,0,0,0,1,427.1,1975,1975,1,2,76.55,76.55
USA,0,0,0,0,1,427.1,1975,1975,2,1,68.74,68.74
USA,0,0,0,0,1,427.1,1975,1975,2,2,76.55,76.55
USA,0,0,0,0,1,427.1,1976,1976,1,1,69.08,69.08
USA,0,0,0,0,1,427.1,1976,1976,1,2,76.77,76.77
USA,0,0,0,0,1,427.1,1976,1976,2,1,69.08,69.08
USA,0,0,0,0,1,427.1,1976,1976,2,2,76.77,76.77
USA,0,0,0,0,1,427.1,1977,1977,1,1,69.4,69.4
USA,0,0,0,0,1,427.1,1977,1977,1,2,77.16,77.16
USA,0,0,0,0,1,427.1,1977,1977,2,1,69.4,69.4
USA,0,0,0,0,1,427.1,1977,1977,2,2,77.16,77.16
USA,0,0,0,0,1,427.1,1978,1978,1,1,69.57,69.57
USA,0,0,0,0,1,427.1,1978,1978,1,2,77.25,77.25
USA,0,0,0,0,1,427.1,1978,1978,2,1,69.57,69.57
USA,0,0,0,0,1,427.1,1978,1978,2,2,77.25,77.25
USA,0,0,0,0,1,427.1,1979,1979,1,1,69.96,69.96
USA,0,0,0,0,1,427.1,1979,1979,1,2,77.7,77.71
USA,0,0,0,0,1,427.1,1979,1979,2,1,69.96,69.96
USA,0,0,0,0,1,427.1,1979,1979,2,2,77.7,77.71
USA,0,0,0,0,1,427.1,1980,1980,1,1,69.94,69.94
USA,0,0,0,0,1,427.1,1980,1980,1,2,77.52,77.52
USA,0,0,0,0,1,427.1,1980,1980,2,1,69.94,69.94
USA,0,0,0,0,1,427.1,1980,1980,2,2,77.52,77.52
USA,0,0,0,0,1,427.1,1981,1981,1,1,70.37,70.37
USA,0,0,0,0,1,427.1,1981,1981,1,2,77.85,77.85
USA,0,0,0,0,1,427.1,1981,1981,2,1,70.37,70.37
USA,0,0,0,0,1,427.1,1981,1981,2,2,77.85,77.85
USA,0,0,0,0,1,427.1,1982,1982,1,1,70.83,70.83
USA,0,0,0,0,1,427.1,1982,1982,1,2,78.2,78.2
USA,0,0,0,0,1,427.1,1982,1982,2,1,70.83,70.83
USA,0,0,0,0,1,427.1,1982,1982,2,2,78.2,78.2
USA,0,0,0,0,1,427.1,1983,1983,1,1,70.92,70.92
USA,0,0,0,0,1,427.1,1983,1983,1,2,78.12,78.12
USA,0,0,0,0,1,427.1,1983,1983,2,1,70.92,70.92
USA,0,0,0,0,1,427.1,1983,1983,2,2,78.12,78.12
USA,0,0,0,0,1,427.1,1984,1984,1,1,71.08,71.08
USA,0,0,0,0,1,427.1,1984,1984,1,2,78.2,78.2
USA,0,0,0,0,1,427.1,1984,1984,2,1,71.08,71.08
USA,0,0,0,0,1,427.1,1984,1984,2,2,78.2,78.2
USA,0,0,0,0,1,427.1,1985,1985,1,1,71.06,71.06
USA,0,0,0,0,1,427.1,1985,1985,1,2,78.22,78.22
USA,0,0,0,0,1,427.1,1985,1985,2,1,71.06,71.06
USA,0,0,0,0,1,427.1,1985,1985,2,2,78.22,78.22
USA,0,0,0,0,1,427.1,1986,1986,1,1,71.12,71.12
USA,0,0,0,0,1,427.1,1986,1986,1,2,78.3,78.3
USA,0,0,0,0,1,427.1,1986,1986,2,1,71.12,71.12
USA,0,0,0,0,1,427.1,1986,1986,2,2,78.3,78.3
USA,0,0,0,0,1,427.1,1987,1987,1,1,71.3,71.3
USA,0,0,0,0,1,427.1,1987,1987,1,2,78.39,78.39
USA,0,0,0,0,1,427.1,1987,1987,2,1,71.3,71.3
USA,0,0,0,0,1,427.1,1987,1987,2,2,78.39,78.39
USA,0,0,0,0,1,427.1,1988,1988,1,1,71.24,71.24
USA,0,0,0,0,1,427.1,1988,1988,1,2,78.33,78.33
USA,0,0,0,0,1,427.1,1988,1988,2,1,71.24,71.24
USA,0,0,0,0,1,427.1,1988,1988,2,2,78.33,78.33
USA,0,0,0,0,1,427.1,1989,1989,1,1,71.54,71.54
USA,0,0,0,0,1,427.1,1989,1989,1,2,78.59,78.59
USA,0,0,0,0,1,427.1,1989,1989,2,1,71.54,71.54
USA,0,0,0,0,1,427.1,1989,1989,2,2,78.59,78.59
USA,0,0,0,0,1,427.1,1990,1990,1,1,71.77,71.77
USA,0,0,0,0,1,427.1,1990,1990,1,2,78.86,78.86
USA,0,0,0,0,1,427.1,1990,1990,2,1,71.77,71.77
USA,0,0,0,0,1,427.1,1990,1990,2,2,78.86,78.86
USA,0,0,0,0,1,427.1,1991,1991,1,1,71.94,71.94
USA,0,0,0,0,1,427.1,1991,1991,1,2,78.99,78.99
USA,0,0,0,0,1,427.1,1991,1991,2,1,71.94,71.94
USA,0,0,0,0,1,427.1,1991,1991,2,2,78.99,78.99
USA,0,0,0,0,1,427.1,1992,1992,1,1,72.17,72.17
USA,0,0,0,0,1,427.1,1992,1992,1,2,79.16,79.16
USA,0,0,0,0,1,427.1,1992,1992,2,1,72.17,72.17
USA,0,0,0,0,1,427.1,1992,1992,2,2,79.16,79.16
USA,0,0,0,0,1,427.1,1993,1993,1,1,71.98,71.98
USA,0,0,0,0,1,427.1,1993,1993,1,2,78.89,78.89
USA,0,0,0,0,1,427.1,1993,1993,2,1,71.98,71.98
USA,0,0,0,0,1,427.1,1993,1993,2,2,78.89,78.89
